name,Solver,time_limit,energy,num_satellites
10_0,Pyomo IPOpt initial state,30,30.20850628426034,10
10_0,Pyomo IPOpt initial state,60,30.20850628426037,10
10_1,Pyomo IPOpt initial state,30,51.24159382623093,10
10_1,Pyomo IPOpt initial state,60,51.241593826227984,10
10_2,Pyomo IPOpt initial state,30,31.58340239105687,10
10_2,Pyomo IPOpt initial state,60,31.58340239105496,10
10_3,Pyomo IPOpt initial state,30,28.34514233104668,10
10_3,Pyomo IPOpt initial state,60,28.345142331046706,10
10_4,Pyomo IPOpt initial state,30,46.108841921789306,10
10_4,Pyomo IPOpt initial state,60,46.108841921789285,10
10_5,Pyomo IPOpt initial state,30,48.60190756155804,10
10_5,Pyomo IPOpt initial state,60,48.60190756155877,10
10_6,Pyomo IPOpt initial state,30,50.16820430638539,10
10_6,Pyomo IPOpt initial state,60,50.168204306385405,10
10_7,Pyomo IPOpt initial state,30,39.65974549123103,10
10_7,Pyomo IPOpt initial state,60,39.65974549123104,10
10_8,Pyomo IPOpt initial state,30,33.16888950149002,10
10_8,Pyomo IPOpt initial state,60,33.16888950149021,10
10_9,Pyomo IPOpt initial state,30,36.418922740376566,10
10_9,Pyomo IPOpt initial state,60,36.41892274037756,10
10_10,Pyomo IPOpt initial state,30,34.62426251008534,10
10_10,Pyomo IPOpt initial state,60,34.62426251008182,10
12_0,Pyomo IPOpt initial state,30,26.85472532416616,12
12_0,Pyomo IPOpt initial state,60,26.85472532416579,12
12_1,Pyomo IPOpt initial state,30,27.026385613032467,12
12_1,Pyomo IPOpt initial state,60,27.026385613032488,12
12_2,Pyomo IPOpt initial state,30,39.72201571383632,12
12_2,Pyomo IPOpt initial state,60,39.72201571383338,12
12_3,Pyomo IPOpt initial state,30,30.967906953581743,12
12_3,Pyomo IPOpt initial state,60,30.96790695358398,12
12_4,Pyomo IPOpt initial state,30,30.49037648117969,12
12_4,Pyomo IPOpt initial state,60,30.49037648117932,12
12_5,Pyomo IPOpt initial state,30,37.48598847415371,12
12_5,Pyomo IPOpt initial state,60,37.485988474155526,12
12_6,Pyomo IPOpt initial state,30,28.383806510125392,12
12_6,Pyomo IPOpt initial state,60,28.383806510125424,12
12_7,Pyomo IPOpt initial state,30,25.10205622440302,12
12_7,Pyomo IPOpt initial state,60,25.10205622440305,12
12_8,Pyomo IPOpt initial state,30,30.95078945187948,12
12_8,Pyomo IPOpt initial state,60,30.950789451880084,12
12_9,Pyomo IPOpt initial state,30,28.20400620899588,12
12_9,Pyomo IPOpt initial state,60,28.20400620899592,12
