name,time_limit,energy,solver
268827376_20_10,300.0,1377.0,NL Solver
1634173168_20_10,300.0,1419.0,NL Solver
691823909_20_10,300.0,1397.0,NL Solver
73807235_20_10,300.0,1484.0,NL Solver
1273398721_20_10,300.0,1538.0,NL Solver
2065119309_20_10,300.0,1593.0,NL Solver
1672900551_20_10,300.0,1591.0,NL Solver
471503978_200_10,300.0,10953.0,NL Solver
1215892992_200_10,300.0,10578.0,NL Solver
135346136_200_10,300.0,11045.0,NL Solver
1602504050_200_10,300.0,10958.0,NL Solver
160037322_200_10,300.0,10587.0,NL Solver
551454346_200_10,300.0,10384.0,NL Solver
519485142_200_10,300.0,10964.0,NL Solver
383947510_200_10,300.0,10799.0,NL Solver
1968171878_200_10,300.0,10502.0,NL Solver
540872513_200_10,300.0,10786.0,NL Solver
1539989115_50_20,300.0,3907.0,NL Solver
691823909_50_20,300.0,3764.0,NL Solver
655816003_50_20,300.0,3725.0,NL Solver
1315102446_50_20,300.0,3787.0,NL Solver
1949668355_50_20,300.0,3681.0,NL Solver
1923497586_50_20,300.0,3737.0,NL Solver
1805594913_50_20,300.0,3759.0,NL Solver
1861070898_50_20,300.0,3769.0,NL Solver
715643788_50_20,300.0,3815.0,NL Solver
464843328_50_20,300.0,3813.0,NL Solver
873654221_20_5,300.0,1278.0,NL Solver
379008056_20_5,300.0,1359.0,NL Solver
1866992158_20_5,300.0,1081.0,NL Solver
216771124_20_5,300.0,1293.0,NL Solver
495070989_20_5,300.0,1235.0,NL Solver
402959317_20_5,300.0,1195.0,NL Solver
1369363414_20_5,300.0,1239.0,NL Solver
2021925980_20_5,300.0,1206.0,NL Solver
573109518_20_5,300.0,1230.0,NL Solver
